WORD|조작음|ko	Word	[휴대 전화 조작음]	[Cell phone operating sound]	조작음	조작음	Noun		"Operational tone, manipulation sound, operating sound"	Netflix	ko	en	jojag-eum	[ hyudae jeonhwa jojag-eum ]	806	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:41	"[한숨]
[휴대 전화 조작음]
[통화 연결음]"	"[Sigh]
[Cell phone operating sound]
[Call connection sound]"		1755049319970_prev.jpg	1755049319970_next.jpg	1755049319970.mp3
WORD|퇴장|ko	Word	이쯤에서 퇴장	we'll exit at this point	퇴장	퇴장	Noun		"Exit, exit, withdrawal"	Netflix	ko	en	toejang	i-jjeum-eseo toejang	793	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:40	"그럼 오늘은
이쯤에서 퇴장
[주민들의 헛기침]"	"Then, today
we'll exit at this point
[Audience coughs]"	"Well, then. I'll take my leave now.
Well, then. I'll take my leave now.
"	1755049245383_prev.jpg	1755049245383_next.jpg	1755049245383.mp3
WORD|이쯤에서|ko	Word	이쯤에서 퇴장	we'll exit at this point	이쯤에서	이쯤에서	Adv		"At this point, around here, at this point"	Netflix	ko	en	i-jjeum-eseo	i-jjeum-eseo toejang	793	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:40	"그럼 오늘은
이쯤에서 퇴장
[주민들의 헛기침]"	"Then, today
we'll exit at this point
[Audience coughs]"	"Well, then. I'll take my leave now.
Well, then. I'll take my leave now.
"	1755049242775_prev.jpg	1755049242775_next.jpg	1755049242775.mp3
WORD|1주+년|ko	Word	[한숨 쉬며] 가게 1주년 선물이요	[Sighs] A gift for the store's first anniversary	1주년	1주+년	Noun		"1st anniversary, 1st Anniversary"	Netflix	ko	en	1ju+nyeon	[ hansum swimyeo ] gage 1junyeon seonmul-i-yo	787	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:40	"아…
[한숨 쉬며] 가게 1주년 선물이요
그리고 이건 정인 씨 거예요"	"Ah...
[Sighs] A gift for the store's first anniversary
And this is for you, Jeong-in."	"
It's the first anniversary present.
And this is for you, Jeong-in."	1755049212903_prev.jpg	1755049212903_next.jpg	1755049212903.mp3
WORD|꼬셨네|ko	Word	"결국 꼬셨네, 꼬셨어"	"So you finally seduced him, you seduced him"	꼬셨네	꼬셨네	Noun		"You got caught, annoying, irritating"	Netflix	ko	en	kkosyeossne	"gyeolgug kkosyeossne , kkosyeoss-eo"	783	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:39	"- [소곤대며] 세무사래, 세무사 - [황 언니의 놀란 숨소리]
결국 꼬셨네, 꼬셨어
[세리의 소곤대는 소리]"	"- [Whispering] He's a tax accountant, a tax accountant - [Hwang's surprised gasp]
So you finally seduced him, you seduced him
[Seri's whispering sound]"	"He's a tax accountant.
She's seduced him after all.
"	1755049177945_prev.jpg	1755049177945_next.jpg	1755049177945.mp3
WORD|세무사|ko	Word	"- [소곤대며] 세무사래, 세무사 - [황 언니의 놀란 숨소리]"	- [Whispering] He said he's an accountant - [Hwang Unni's surprised gasp]	세무사	세무사	Noun		"Tax Accountant, tax, tax consultant"	Netflix	ko	en	semusa	"- [ sogondaemyeo ] semusalae , semusa - [ hwang eonni-ui nollan sumsoli ]"	782	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:39	"저 남자 변 사장 심부름꾼 아니야?
- [소곤대며] 세무사래, 세무사 - [황 언니의 놀란 숨소리]
결국 꼬셨네, 꼬셨어"	"Isn't that man President Byun's errand boy?
- [Whispering] He said he's an accountant - [Hwang Unni's surprised gasp]
He finally seduced her, he really did"	"Isn't that President Byeon's errand boy?
He's a tax accountant.
She's seduced him after all."	1755049172161_prev.jpg	1755049172161_next.jpg	1755049172161.mp3
WORD|나대기+ㄴ|ko	Word	"그래, 좀 나대긴 하지…"	"Yeah, I do show off a bit..."	나대긴	나대기+ㄴ	Verb		"Long, I'm sorry, I'm sorry for being late"	Netflix	ko	en	nadaegi+ㄴ	"geulae , jom nadaegin haji …"	761	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:38	"좀 나대는 타입 아니야?
그래, 좀 나대긴 하지…
[직원2] 왜? 뭔…"	"Aren't you the type to show off a bit?
Yeah, I do show off a bit...
[Employee 2] Why? What..."	"Isn't she a bit of a show-off?
Yes, she is a bit…
What is it?"	1755049091364_prev.jpg	1755049091364_next.jpg	1755049091364.mp3
WORD|나대는|ko	Word	좀 나대는 타입 아니야?	Isn't he the type to show off a bit?	나대는	나대는	Verb		"Intimately, bragging, boasting"	Netflix	ko	en	nadaeneun	jom nadaeneun ta-ib ani-ya ?	760	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:38	"- 아아, 걔? 치 - [직원2] 그래
좀 나대는 타입 아니야?
그래, 좀 나대긴 하지…"	"- Ah, him? Tch - [Staff 2] Yeah
Isn't he the type to show off a bit?
Yeah, he does tend to show off a bit..."	"-Oh, her? -Yes.
Isn't she a bit of a show-off?
Yes, she is a bit…"	1755049084986_prev.jpg	1755049084986_next.jpg	1755049084986.mp3
WORD|칭찬도|ko	Word	똘똘하다고 저번에 사장이 칭찬도 했잖아	She's smart. The boss even praised her last time.	칭찬도	칭찬도	Noun		"praise, Praise, compliment"	Netflix	ko	en	chingchando	ttol-ttolhadago jeobeon-e sajang-i chingchando haessjanh-a	758	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:37	"- 변미래? - [직원2] 엥?
똘똘하다고 저번에 사장이 칭찬도 했잖아
- 아아, 걔? 치 - [직원2] 그래"	"- Byun Mirae? - [Employee 2] Huh?
She's smart. The boss even praised her last time.
- Ah, her? Tch - [Employee 2] Yeah"	"Byeon Mi-rae? Come on. Mr. Nam complimented her for being smart.
Come on. Mr. Nam complimented her for being smart.
-Oh, her? -Yes."	1755049066754_prev.jpg	1755049066754_next.jpg	1755049066754.mp3
WORD|똘똘+하+다고|ko	Word	똘똘하다고 저번에 사장이 칭찬도 했잖아	She's smart. The boss even praised her last time.	똘똘하다고	똘똘+하+다고	Verb		"smart, clever, intelligent"	Netflix	ko	en	ttol-ttol+ha+dago	ttol-ttolhadago jeobeon-e sajang-i chingchando haessjanh-a	758	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:37	"- 변미래? - [직원2] 엥?
똘똘하다고 저번에 사장이 칭찬도 했잖아
- 아아, 걔? 치 - [직원2] 그래"	"- Byun Mirae? - [Employee 2] Huh?
She's smart. The boss even praised her last time.
- Ah, her? Tch - [Employee 2] Yeah"	"Byeon Mi-rae? Come on. Mr. Nam complimented her for being smart.
Come on. Mr. Nam complimented her for being smart.
-Oh, her? -Yes."	1755049048789_prev.jpg	1755049048789_next.jpg	1755049048789.mp3
WORD|주임한테|ko	Word	"아니, 팀장급도 아니고 주임한테 사수를 맡겼다고?"	"No, not a team leader, but a junior employee was assigned as a mentor?"	주임한테	주임한테	Noun		"To the chief, to the person in charge, To the foreman"	Netflix	ko	en	ju-imhante	"ani , timjanggeubdo anigo ju-imhante sasuleul matgyeossdago ?"	754	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:37	"사장한테 아들 있다는 것도 서프라이즈인데
아니, 팀장급도 아니고 주임한테 사수를 맡겼다고?
- [직원2의 헛웃음] - 아, 걔가 누군데?"	"It's a surprise that the boss has a son,
No, not a team leader, but a junior employee was assigned as a mentor?
- [Employee 2 laughs hollowly] - Ah, who is that?"	"The fact that the CEO had a son was a surprise.
And he even made a supervisor his mentor instead of a team leader?
Who's she?"	1755049027517_prev.jpg	1755049027517_next.jpg	1755049027517.mp3
WORD|팀장급+도|ko	Word	"아니, 팀장급도 아니고 주임한테 사수를 맡겼다고?"	"No, not a team leader, but a junior employee was assigned as a mentor?"	팀장급도	팀장급+도	Noun		"team leader level, team manager level, team head level"	Netflix	ko	en	timjanggeub+do	"ani , timjanggeubdo anigo ju-imhante sasuleul matgyeossdago ?"	754	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:36	"사장한테 아들 있다는 것도 서프라이즈인데
아니, 팀장급도 아니고 주임한테 사수를 맡겼다고?
- [직원2의 헛웃음] - 아, 걔가 누군데?"	"It's a surprise that the boss has a son,
No, not a team leader, but a junior employee was assigned as a mentor?
- [Employee 2 laughs hollowly] - Ah, who is that?"	"The fact that the CEO had a son was a surprise.
And he even made a supervisor his mentor instead of a team leader?
Who's she?"	1755049019485_prev.jpg	1755049019485_next.jpg	1755049019485.mp3
WORD|맡겼네|ko	Word	내가 맡겨도 너무 잘 맡겼네	"I entrusted it to you, and you did so well,"	맡겼네	맡겼네	Verb		"I entrusted you, I entrusted it, I left it"	Netflix	ko	en	matgyeossne	naega matgyeodo neomu jal matgyeossne	750	nf_81739035	Romance in the House E10 Tears are Saltier than Water	2025-08-13 01:36	"태평이랑 둘이 사귀는 줄 알았는데
내가 맡겨도 너무 잘 맡겼네
[치열의 웃음]"	"I thought you were dating Taepyeong alone,
I entrusted it to you, and you did so well,
[Chiyeol laughs]"	"I thought she was dating Tae-pyeong.
I'm glad I put him under her care.
"	1755048981639_prev.jpg	1755048981639_next.jpg	1755048981639.mp3
